Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Efficiency,Support_Score,Wellbeing_Score,Academic_History,Motivation_Resources,Attendance_Study
22,70,0,1,1,6,82,1,1,1,0,2.0,1,1,3,0,0.0,0.0,0,65,0.30985915492957744,4.0,9,57.699999999999996,1,1540
15,80,1,1,1,9,91,0,1,3,0,1.0,1,2,2,0,1.0,1.0,0,67,0.18518518518518517,4.0,11,64.6,0,1200
12,75,1,2,1,7,58,1,1,3,1,1.0,0,2,4,0,1.0,0.0,1,66,0.15789473684210525,5.0,11,41.49999999999999,2,900
29,78,1,1,0,5,99,2,1,0,2,1.0,1,0,1,0,0.0,1.0,0,69,0.3670886075949367,4.0,6,69.3,2,2262
19,99,1,2,0,6,84,1,1,1,1,2.0,1,1,3,0,0.0,0.0,1,72,0.19,6.0,9,59.099999999999994,2,1881
20,74,1,2,0,8,89,0,1,1,1,1.0,1,0,2,0,1.0,1.0,0,66,0.26666666666666666,5.0,10,62.599999999999994,0,1480
11,78,2,1,1,8,100,2,1,1,0,1.0,1,1,3,0,0.0,1.0,1,66,0.13924050632911392,5.0,11,70.3,2,858
17,65,0,2,1,5,75,1,1,2,0,1.0,1,2,3,0,0.0,0.0,0,63,0.25757575757575757,4.0,8,53.1,2,1105
21,62,2,0,1,6,54,2,1,0,2,2.0,1,2,3,0,2.0,2.0,1,64,0.3333333333333333,5.0,9,37.8,0,1302
13,91,0,1,0,6,90,1,1,1,2,1.0,1,0,2,1,0.0,1.0,0,65,0.14130434782608695,3.0,8,63.29999999999999,1,1183
22,83,2,2,1,6,94,1,1,0,2,1.0,1,1,2,0,1.0,1.0,1,71,0.2619047619047619,6.0,8,65.8,2,1826
16,90,1,1,0,4,58,1,1,1,0,1.0,1,1,3,0,0.0,1.0,0,66,0.17582417582417584,4.0,7,40.89999999999999,1,1440
18,66,2,2,0,4,51,0,1,2,0,1.0,0,1,2,0,1.0,0.0,1,64,0.26865671641791045,6.0,6,36.3,0,1188
16,83,0,1,0,6,57,1,1,0,2,0.0,1,2,4,1,0.0,0.0,0,63,0.19047619047619047,2.0,10,39.9,1,1328
31,70,1,2,1,7,66,1,1,1,2,1.0,1,0,3,0,1.0,0.0,1,69,0.43661971830985913,5.0,10,46.49999999999999,2,2170
20,69,1,1,1,8,96,1,1,2,1,2.0,1,2,3,0,0.0,0.0,1,67,0.2857142857142857,5.0,11,67.79999999999998,1,1380
14,60,2,1,0,5,50,1,1,2,1,1.0,1,1,3,0,1.0,,0,61,0.22950819672131148,5.0,8,35.6,1,840
25,65,2,1,0,5,90,1,1,2,1,1.0,1,2,3,0,1.0,1.0,0,68,0.3787878787878788,5.0,8,63.599999999999994,1,1625
13,72,0,1,0,6,93,0,1,1,0,1.0,1,0,3,0,0.0,0.0,1,61,0.1780821917808219,3.0,9,65.39999999999999,0,936
21,65,1,0,1,7,91,0,1,2,1,2.0,1,2,3,0,0.0,2.0,0,64,0.3181818181818182,4.0,10,64.3,0,1365
8,99,1,1,0,9,54,0,1,2,0,1.0,1,1,5,0,2.0,0.0,0,67,0.08,4.0,14,38.4,0,792
12,72,0,1,1,8,84,1,1,1,0,1.0,1,2,5,0,0.0,0.0,0,63,0.1643835616438356,3.0,13,59.099999999999994,1,864
21,65,0,1,1,6,98,0,1,1,1,2.0,1,0,4,0,0.0,0.0,1,64,0.3181818181818182,4.0,10,68.89999999999999,0,1365
24,68,2,1,0,8,56,0,1,3,2,2.0,1,1,1,0,1.0,0.0,1,67,0.34782608695652173,6.0,9,40.099999999999994,0,1632
21,84,1,1,1,6,52,0,1,1,1,2.0,1,1,2,1,1.0,2.0,0,65,0.24705882352941178,5.0,8,36.699999999999996,0,1764
19,63,0,2,0,7,94,1,1,1,1,1.0,0,2,3,0,0.0,1.0,1,64,0.296875,4.0,10,66.1,2,1197
18,94,1,2,1,7,82,1,1,3,1,1.0,0,0,2,1,1.0,0.0,1,70,0.18947368421052632,5.0,9,58.3,2,1692
11,98,1,1,1,9,82,0,1,1,1,1.0,0,2,3,0,2.0,2.0,1,68,0.1111111111111111,4.0,12,57.699999999999996,0,1078
16,70,1,1,1,8,98,1,1,2,1,1.0,1,2,3,0,0.0,1.0,1,65,0.22535211267605634,4.0,11,69.19999999999999,1,1120
17,78,1,1,1,6,88,1,1,1,1,2.0,0,2,3,0,1.0,0.0,0,68,0.21518987341772153,5.0,9,61.89999999999999,1,1326
26,61,1,0,1,6,70,1,1,2,0,1.0,1,2,3,0,0.0,1.0,0,64,0.41935483870967744,3.0,9,49.6,0,1586
22,86,0,1,1,7,72,0,1,3,0,2.0,1,2,2,0,0.0,1.0,1,68,0.25287356321839083,4.0,9,51.3,0,1892
9,77,1,1,0,5,57,1,1,2,1,2.0,1,1,3,0,0.0,0.0,1,63,0.11538461538461539,5.0,8,40.5,1,693
22,71,0,1,1,7,65,0,1,1,1,0.0,1,2,4,0,1.0,1.0,1,64,0.3055555555555556,2.0,11,45.8,0,1562
18,68,2,1,0,7,72,1,1,0,1,1.0,1,1,3,0,1.0,0.0,1,64,0.2608695652173913,5.0,10,50.4,1,1224
16,86,0,1,1,8,63,1,1,2,1,1.0,1,2,4,0,0.0,0.0,1,67,0.1839080459770115,3.0,12,44.699999999999996,1,1376
24,77,2,0,0,8,96,1,1,0,1,1.0,1,1,3,0,0.0,0.0,0,67,0.3076923076923077,4.0,11,67.19999999999999,0,1848
26,67,1,2,1,7,51,0,1,2,2,2.0,0,1,4,1,2.0,2.0,0,66,0.38235294117647056,6.0,11,36.3,0,1742
26,88,1,2,1,5,79,1,1,1,0,2.0,0,2,4,0,1.0,1.0,1,72,0.29213483146067415,6.0,9,55.599999999999994,2,2288
15,83,1,2,0,5,89,0,0,1,1,2.0,1,1,2,1,0.0,0.0,0,65,0.17857142857142858,5.0,7,62.599999999999994,0,1245
18,94,1,1,1,6,87,2,1,1,1,1.0,1,2,4,0,0.0,0.0,1,71,0.18947368421052632,4.0,10,61.199999999999996,2,1692
22,65,2,0,0,8,82,1,1,2,1,2.0,1,2,1,0,2.0,0.0,0,66,0.3333333333333333,5.0,9,58.0,0,1430
26,91,1,0,1,8,71,1,1,0,0,1.0,0,1,3,0,0.0,1.0,1,68,0.2826086956521739,3.0,11,49.699999999999996,0,2366
17,87,1,1,0,7,96,1,1,1,2,1.0,1,0,5,0,2.0,0.0,0,70,0.19318181818181818,4.0,12,67.49999999999999,1,1479
19,65,1,1,1,10,66,0,1,0,0,1.0,1,2,3,0,0.0,1.0,1,62,0.2878787878787879,4.0,13,46.199999999999996,0,1235
13,88,0,2,1,9,88,2,1,2,0,2.0,0,0,4,0,2.0,2.0,1,68,0.14606741573033707,5.0,13,62.199999999999996,4,1144
13,78,1,2,1,9,96,2,1,2,0,1.0,1,1,3,0,1.0,1.0,1,67,0.16455696202531644,5.0,12,67.79999999999998,4,1014
25,98,0,2,1,8,56,1,0,0,1,2.0,0,1,3,0,2.0,0.0,1,71,0.25252525252525254,4.0,11,39.199999999999996,2,2450
28,66,1,2,1,8,97,1,1,0,1,1.0,1,1,2,0,0.0,0.0,1,68,0.417910447761194,5.0,10,67.89999999999999,2,1848
20,86,1,1,1,8,89,1,1,1,0,1.0,1,0,3,0,2.0,0.0,1,69,0.22988505747126436,4.0,11,62.599999999999994,1,1720
26,75,0,2,1,4,81,2,1,3,1,2.0,0,2,2,0,0.0,1.0,1,70,0.34210526315789475,5.0,6,57.599999999999994,4,1950
22,98,1,2,0,5,69,0,0,1,0,2.0,1,0,4,0,0.0,1.0,0,69,0.2222222222222222,5.0,9,48.599999999999994,0,2156
16,73,1,1,0,7,95,1,1,1,0,1.0,1,0,4,0,1.0,0.0,1,65,0.21621621621621623,4.0,11,66.8,1,1168
22,98,1,0,1,7,52,1,0,3,1,1.0,1,2,3,0,1.0,0.0,0,70,0.2222222222222222,2.0,10,37.3,0,2156
29,96,1,0,1,7,72,1,1,1,0,1.0,1,2,3,0,0.0,1.0,1,71,0.29896907216494845,3.0,10,50.699999999999996,0,2784
20,71,1,1,1,7,88,1,1,1,0,0.0,1,1,4,0,1.0,0.0,0,65,0.2777777777777778,3.0,11,61.89999999999999,1,1420
29,92,0,1,0,4,91,1,1,2,1,1.0,1,0,1,0,2.0,0.0,0,72,0.3118279569892473,3.0,5,64.3,1,2668
4,100,2,2,1,8,60,2,1,0,1,2.0,0,2,4,0,1.0,1.0,1,69,0.039603960396039604,7.0,12,42.0,4,400
25,70,1,1,0,7,52,1,1,1,1,1.0,1,2,3,0,2.0,0.0,0,66,0.352112676056338,4.0,10,36.699999999999996,1,1750
21,77,0,1,1,7,90,1,1,4,1,1.0,0,1,3,0,2.0,1.0,1,68,0.2692307692307692,3.0,10,64.19999999999999,1,1617
18,81,2,0,1,8,71,1,1,0,1,1.0,1,1,3,0,0.0,1.0,0,65,0.21951219512195122,4.0,11,49.699999999999996,0,1458
21,72,1,1,1,5,57,1,1,1,2,1.0,1,1,5,1,1.0,1.0,1,64,0.2876712328767123,4.0,10,40.199999999999996,1,1512
8,61,1,1,1,7,54,1,1,1,2,1.0,1,2,3,0,1.0,0.0,1,60,0.12903225806451613,4.0,10,38.099999999999994,1,488
19,69,1,2,1,7,82,2,1,1,0,1.0,1,0,2,0,0.0,0.0,1,65,0.2714285714285714,5.0,9,57.699999999999996,4,1311
22,71,2,1,0,6,79,2,1,1,0,0.0,1,2,3,0,0.0,0.0,1,66,0.3055555555555556,4.0,9,55.599999999999994,2,1562
29,78,2,2,1,4,93,0,1,5,1,2.0,1,1,3,0,1.0,0.0,1,74,0.3670886075949367,7.0,7,66.6,0,2262
17,67,1,1,1,5,52,2,1,2,1,1.0,0,0,3,0,0.0,2.0,0,62,0.25,4.0,8,37.0,2,1139
15,95,1,1,0,7,93,1,1,2,0,1.0,1,2,4,0,1.0,1.0,1,70,0.15625,4.0,11,65.69999999999999,1,1425
17,88,1,2,1,7,94,0,1,0,1,1.0,1,1,3,0,0.0,0.0,1,69,0.19101123595505617,5.0,10,65.8,0,1496
25,63,1,2,1,7,72,1,1,3,1,2.0,0,0,4,0,1.0,2.0,1,67,0.390625,6.0,11,51.3,2,1575
22,86,0,0,0,6,54,1,1,2,1,1.0,1,1,0,0,0.0,1.0,1,64,0.25287356321839083,2.0,6,38.4,0,1892
17,86,1,2,0,5,97,2,1,3,2,1.0,1,1,3,0,1.0,0.0,1,71,0.19540229885057472,5.0,8,68.8,4,1462
23,98,1,0,1,7,54,0,1,0,1,1.0,1,0,3,0,1.0,0.0,0,68,0.23232323232323232,3.0,10,37.8,0,2254
21,60,2,1,0,7,80,1,1,0,1,2.0,1,1,4,1,1.0,0.0,1,64,0.3442622950819672,6.0,11,56.0,1,1260
26,70,1,0,1,8,75,1,1,1,1,0.0,0,1,4,1,0.0,2.0,0,63,0.36619718309859156,2.0,12,52.8,0,1820
16,97,1,1,1,6,92,0,1,0,2,1.0,0,2,4,0,1.0,0.0,1,71,0.16326530612244897,4.0,10,64.39999999999999,0,1552
18,97,2,1,1,4,75,0,1,0,0,1.0,1,2,3,0,0.0,1.0,1,69,0.1836734693877551,5.0,7,52.5,0,1746
18,89,2,1,1,4,73,1,1,3,2,1.0,0,2,2,0,1.0,0.0,0,100,0.2,5.0,6,51.99999999999999,1,1602
11,91,1,1,0,6,94,1,1,3,1,1.0,1,1,3,0,1.0,1.0,1,68,0.11956521739130435,4.0,9,66.7,1,1001
22,64,0,1,0,7,98,0,0,1,1,1.0,1,0,3,0,0.0,0.0,1,62,0.3384615384615385,2.0,10,68.89999999999999,0,1408
22,81,1,1,1,7,77,0,1,2,1,1.0,1,2,3,0,2.0,2.0,0,68,0.2682926829268293,4.0,10,54.5,0,1782
20,69,2,2,1,6,73,1,1,2,0,1.0,0,2,3,0,0.0,2.0,1,66,0.2857142857142857,6.0,9,51.699999999999996,2,1380
19,67,0,1,0,5,92,2,1,0,1,1.0,1,2,3,0,1.0,0.0,1,64,0.27941176470588236,3.0,8,64.39999999999999,2,1273
12,92,1,1,0,4,92,2,1,2,1,2.0,1,1,3,1,0.0,1.0,1,67,0.12903225806451613,5.0,7,64.99999999999999,2,1104
17,65,1,2,1,8,66,1,1,1,2,2.0,1,1,4,1,2.0,1.0,0,65,0.25757575757575757,6.0,12,46.49999999999999,2,1105
18,79,1,1,1,7,79,1,1,0,0,2.0,0,1,3,0,1.0,2.0,1,65,0.225,5.0,10,55.3,1,1422
15,98,2,1,0,6,58,2,1,0,0,2.0,1,2,3,0,1.0,0.0,1,69,0.15151515151515152,6.0,9,40.599999999999994,2,1470
19,67,1,1,0,5,82,2,1,1,0,0.0,0,0,3,0,0.0,0.0,1,63,0.27941176470588236,3.0,8,57.699999999999996,2,1273
22,99,1,0,1,6,92,0,1,3,1,1.0,1,0,4,0,2.0,1.0,1,72,0.22,3.0,10,65.3,0,2178
31,100,1,1,0,7,59,1,1,2,2,2.0,1,2,5,0,2.0,1.0,1,76,0.3069306930693069,5.0,12,41.9,1,3100
21,82,1,2,1,7,66,2,1,3,0,1.0,1,2,3,1,1.0,0.0,0,69,0.25301204819277107,5.0,10,47.099999999999994,4,1722
22,67,1,1,1,7,72,2,1,3,0,2.0,1,2,2,0,2.0,1.0,0,67,0.3235294117647059,5.0,9,51.3,2,1474
20,73,2,1,1,9,92,1,1,2,1,2.0,1,2,3,0,1.0,0.0,1,69,0.2702702702702703,6.0,12,64.99999999999999,1,1460
8,77,2,1,1,6,87,1,1,0,0,1.0,1,1,2,0,0.0,1.0,1,63,0.10256410256410256,5.0,8,60.9,1,616
20,72,1,1,0,9,66,1,1,3,0,2.0,0,2,3,0,2.0,0.0,1,67,0.273972602739726,5.0,12,47.099999999999994,1,1440
20,71,0,2,1,7,62,2,1,2,1,1.0,1,0,5,0,1.0,0.0,1,66,0.2777777777777778,4.0,12,44.0,4,1420
35,99,2,2,1,7,85,0,1,2,1,2.0,0,1,2,0,2.0,0.0,0,79,0.35,7.0,9,60.099999999999994,0,3465
19,66,1,1,0,8,74,1,1,1,2,1.0,1,1,3,0,0.0,0.0,0,64,0.2835820895522388,4.0,11,52.099999999999994,1,1254
22,89,2,2,1,6,80,1,1,1,2,2.0,1,2,3,0,0.0,0.0,0,73,0.24444444444444444,7.0,9,56.3,2,1958
20,60,0,2,0,7,82,2,1,2,0,2.0,1,2,4,1,0.0,0.0,1,63,0.32786885245901637,5.0,11,58.0,4,1200
13,84,1,1,0,5,78,1,1,1,0,2.0,1,2,2,0,0.0,0.0,1,65,0.15294117647058825,5.0,7,54.89999999999999,1,1092
27,97,0,2,1,8,81,1,1,0,2,1.0,1,2,5,0,0.0,0.0,0,73,0.2755102040816326,4.0,13,56.699999999999996,2,2619
25,72,2,2,1,8,94,0,1,2,0,1.0,0,2,4,0,1.0,1.0,0,70,0.3424657534246575,6.0,12,66.39999999999999,0,1800
25,67,2,1,0,9,93,2,1,2,0,2.0,1,2,3,1,0.0,0.0,0,68,0.36764705882352944,6.0,12,65.69999999999999,2,1675
15,86,1,1,1,7,57,1,1,1,1,1.0,1,0,3,0,1.0,0.0,1,65,0.1724137931034483,4.0,10,40.199999999999996,1,1290
28,89,0,2,1,9,79,2,1,0,0,1.0,0,2,1,0,1.0,1.0,0,71,0.3111111111111111,4.0,10,55.3,4,2492
12,88,0,1,0,6,72,0,1,2,1,1.0,1,2,2,0,1.0,2.0,1,64,0.1348314606741573,3.0,8,51.0,0,1056
24,73,1,2,1,8,64,1,1,4,2,1.0,0,1,3,1,1.0,1.0,1,68,0.32432432432432434,5.0,11,46.0,2,1752
33,70,1,1,1,6,82,0,1,1,0,2.0,1,1,4,0,1.0,0.0,1,69,0.4647887323943662,5.0,10,57.699999999999996,0,2310
14,98,1,1,0,7,76,1,1,0,1,2.0,0,2,4,0,1.0,1.0,0,69,0.1414141414141414,5.0,11,53.199999999999996,1,1372
17,97,1,1,0,8,89,1,1,1,0,,1,1,4,0,0.0,2.0,1,69,0.17346938775510204,,12,62.599999999999994,1,1649
21,78,1,1,1,10,55,1,1,1,2,0.0,0,2,2,0,1.0,0.0,1,67,0.26582278481012656,3.0,12,38.8,1,1638
17,94,0,1,1,8,65,0,1,4,1,1.0,1,1,6,0,0.0,2.0,0,68,0.17894736842105263,3.0,14,46.7,0,1598
11,78,1,2,1,8,51,1,1,2,0,1.0,1,1,3,0,2.0,0.0,1,64,0.13924050632911392,5.0,11,36.3,2,858
20,77,1,1,0,6,87,0,1,0,0,2.0,1,2,4,0,0.0,0.0,0,66,0.2564102564102564,5.0,10,60.9,0,1540
14,66,2,0,0,7,96,1,1,3,0,2.0,1,0,3,0,0.0,0.0,1,63,0.208955223880597,5.0,10,68.1,0,924
23,77,1,1,1,7,79,1,1,0,0,2.0,1,1,2,0,0.0,1.0,1,66,0.2948717948717949,5.0,9,55.3,1,1771
14,81,1,1,0,9,81,1,1,1,0,2.0,0,0,3,0,2.0,0.0,0,66,0.17073170731707318,5.0,12,56.99999999999999,1,1134
29,61,1,2,1,7,52,0,1,3,0,1.0,0,2,3,0,1.0,0.0,0,67,0.46774193548387094,5.0,10,37.3,0,1769
15,78,2,2,0,9,75,0,1,1,0,1.0,1,0,1,0,0.0,0.0,1,65,0.189873417721519,6.0,10,52.8,0,1170
18,91,0,1,1,5,76,1,1,1,1,1.0,1,1,3,0,0.0,0.0,0,68,0.1956521739130435,3.0,8,53.49999999999999,1,1638
25,87,1,0,0,9,52,2,1,1,0,2.0,0,2,2,0,0.0,0.0,1,68,0.2840909090909091,4.0,11,36.699999999999996,0,2175
13,85,2,1,0,6,89,1,1,0,2,1.0,0,1,1,1,0.0,0.0,1,65,0.1511627906976744,5.0,7,62.3,1,1105
21,96,1,1,0,8,64,2,1,2,1,2.0,1,1,0,0,1.0,0.0,1,71,0.21649484536082475,5.0,8,45.4,2,2016
28,61,1,2,0,6,86,2,1,1,0,1.0,0,0,3,1,2.0,2.0,1,65,0.45161290322580644,5.0,9,60.49999999999999,4,1708
10,82,1,0,0,8,70,1,1,3,0,2.0,1,2,1,1,2.0,0.0,0,64,0.12048192771084337,4.0,9,49.9,0,820
21,91,2,1,0,6,100,1,1,0,2,1.0,0,1,2,0,2.0,0.0,0,72,0.22826086956521738,5.0,8,70.0,1,1911
22,82,1,1,0,9,61,1,1,2,0,1.0,1,0,2,1,0.0,0.0,0,65,0.26506024096385544,4.0,11,43.3,1,1804
25,73,1,2,0,8,53,2,0,0,0,2.0,0,0,5,0,2.0,0.0,0,66,0.33783783783783783,5.0,13,37.099999999999994,4,1825
13,65,0,2,0,6,99,1,1,0,0,1.0,0,0,4,0,0.0,0.0,1,61,0.19696969696969696,4.0,10,69.3,2,845
12,96,0,2,1,8,62,1,1,2,1,2.0,1,0,3,0,1.0,0.0,0,68,0.12371134020618557,5.0,11,44.0,2,1152
23,79,2,2,1,8,82,0,1,3,1,1.0,1,0,3,1,2.0,1.0,0,69,0.2875,6.0,11,58.3,0,1817
22,95,1,2,1,6,69,1,1,1,0,1.0,1,2,3,0,1.0,0.0,0,72,0.22916666666666666,5.0,9,48.599999999999994,2,2090
22,83,1,2,1,5,82,1,1,2,0,2.0,1,2,3,0,2.0,0.0,0,71,0.2619047619047619,6.0,8,58.0,2,1826
22,87,2,2,0,5,80,0,1,2,0,2.0,1,0,3,0,0.0,0.0,0,70,0.25,7.0,8,56.6,0,1914
16,92,1,2,1,5,85,0,1,1,0,1.0,1,1,2,0,0.0,1.0,1,68,0.17204301075268819,5.0,7,59.79999999999999,0,1472
21,86,0,1,1,5,51,1,1,2,0,2.0,1,2,2,0,0.0,1.0,0,67,0.2413793103448276,4.0,7,36.3,1,1806
22,76,1,1,1,8,92,1,1,1,0,2.0,1,1,4,0,0.0,0.0,0,68,0.2857142857142857,5.0,12,64.69999999999999,1,1672
16,81,1,1,1,8,74,1,1,3,1,1.0,1,2,2,0,2.0,0.0,0,68,0.1951219512195122,4.0,10,52.699999999999996,1,1296
31,92,1,1,1,4,76,1,1,2,1,2.0,1,2,4,1,0.0,2.0,1,72,0.3333333333333333,5.0,8,53.8,1,2852
23,75,0,2,0,6,71,0,1,0,1,1.0,1,1,2,0,1.0,0.0,1,65,0.3026315789473684,4.0,8,49.699999999999996,0,1725
13,76,1,2,0,5,99,0,1,2,1,1.0,0,2,4,0,0.0,0.0,0,66,0.16883116883116883,5.0,9,69.89999999999999,0,988
24,64,1,1,1,8,90,2,1,0,0,2.0,1,0,3,0,0.0,0.0,1,65,0.36923076923076925,5.0,11,62.99999999999999,2,1536
14,97,1,1,1,6,66,1,1,2,1,1.0,1,0,3,1,1.0,0.0,0,67,0.14285714285714285,4.0,9,46.8,1,1358
25,64,1,2,0,5,89,0,1,2,1,1.0,1,1,4,0,1.0,2.0,1,66,0.38461538461538464,5.0,9,62.9,0,1600
27,86,1,1,0,7,72,0,1,1,1,2.0,1,2,4,0,0.0,2.0,1,69,0.3103448275862069,5.0,11,50.699999999999996,0,2322
15,77,1,1,1,8,94,0,1,0,2,2.0,1,2,3,0,1.0,1.0,1,66,0.19230769230769232,5.0,11,65.8,0,1155
26,76,1,2,1,6,52,1,1,4,2,0.0,1,1,3,0,0.0,0.0,1,69,0.33766233766233766,4.0,9,37.6,2,1976
22,87,2,0,1,7,68,1,0,0,0,1.0,1,1,2,0,0.0,0.0,1,67,0.25,3.0,9,47.599999999999994,0,1914
25,63,2,1,1,6,71,1,1,1,1,0.0,0,2,3,0,0.0,0.0,1,66,0.390625,4.0,9,49.99999999999999,1,1575
31,84,1,1,1,9,87,1,1,2,0,1.0,0,1,3,0,1.0,2.0,1,71,0.36470588235294116,4.0,12,61.5,1,2604
19,91,2,0,0,6,59,1,1,5,1,2.0,1,1,4,0,1.0,1.0,1,70,0.20652173913043478,5.0,10,42.8,0,1729
15,93,2,1,0,6,64,1,1,2,1,2.0,1,2,4,0,2.0,0.0,1,71,0.1595744680851064,6.0,10,45.4,1,1395
15,67,1,1,1,7,86,2,1,1,2,1.0,0,2,3,0,2.0,0.0,1,66,0.22058823529411764,4.0,10,60.49999999999999,2,1005
15,96,1,1,0,7,54,2,0,3,1,2.0,1,0,2,0,0.0,0.0,1,67,0.15463917525773196,4.0,9,38.699999999999996,2,1440
20,86,2,0,0,8,60,1,1,1,1,1.0,1,1,4,1,1.0,2.0,0,66,0.22988505747126436,4.0,12,42.3,0,1720
22,95,1,2,0,9,88,0,1,0,0,2.0,1,2,2,0,2.0,0.0,1,72,0.22916666666666666,6.0,11,61.599999999999994,0,2090
22,79,1,1,0,9,94,1,1,1,1,1.0,1,2,3,0,0.0,0.0,1,68,0.275,4.0,12,66.1,1,1738
25,82,1,1,0,6,86,1,0,3,0,2.0,1,2,3,0,0.0,0.0,0,69,0.30120481927710846,4.0,9,61.099999999999994,1,2050
20,97,1,1,1,7,76,0,1,2,0,0.0,0,2,3,0,2.0,0.0,1,71,0.20408163265306123,3.0,10,53.8,0,1940
29,96,1,1,1,9,55,0,0,0,1,1.0,1,1,2,0,2.0,2.0,0,70,0.29896907216494845,3.0,11,38.5,0,2784
18,78,1,1,0,9,91,2,1,2,2,0.0,1,1,4,0,1.0,2.0,0,67,0.22784810126582278,3.0,13,64.3,2,1404
36,71,1,1,1,6,56,1,1,2,2,1.0,1,2,2,0,0.0,2.0,1,69,0.5,4.0,8,39.8,1,2556
24,76,0,2,0,8,69,0,1,2,1,1.0,1,1,1,0,0.0,1.0,1,65,0.3116883116883117,4.0,9,48.9,0,1824
15,76,2,2,0,8,53,1,1,1,0,1.0,1,1,4,0,1.0,0.0,1,65,0.19480519480519481,6.0,12,37.39999999999999,2,1140
14,71,1,1,1,8,85,0,1,2,1,2.0,1,1,4,0,0.0,0.0,1,64,0.19444444444444445,5.0,12,60.099999999999994,0,994
23,71,0,0,1,9,75,0,1,1,0,1.0,1,0,2,0,1.0,0.0,1,63,0.3194444444444444,2.0,11,52.8,0,1633
19,94,0,1,1,5,95,1,1,3,0,0.0,1,2,2,0,0.0,1.0,1,69,0.2,2.0,7,67.4,1,1786
24,63,1,0,1,6,57,1,1,1,0,2.0,0,1,5,0,1.0,0.0,0,64,0.375,4.0,11,40.199999999999996,0,1512
23,87,2,2,1,8,91,2,1,0,2,1.0,0,2,3,0,0.0,1.0,1,72,0.26136363636363635,6.0,11,63.699999999999996,4,2001
20,67,0,1,1,7,76,1,1,0,1,1.0,1,1,4,0,0.0,0.0,1,63,0.29411764705882354,3.0,11,53.199999999999996,1,1340
15,74,0,2,1,4,68,0,1,3,0,1.0,1,2,3,0,0.0,0.0,0,64,0.2,4.0,7,48.49999999999999,0,1110
11,62,1,2,1,5,82,1,1,3,2,1.0,0,1,4,0,1.0,1.0,1,64,0.1746031746031746,5.0,9,58.3,2,682
